titlemeta_ID;titlemeta_author;titlemeta_title;bestseller_author;bestseller_title;bestseller_year;ratio_author;ratio_title
uc1.$b370484;Davenport, Marcia;East Side, West Side.;Davenport, Marcia;East Side, West Side;1947;100;98
mdp.39015005711711;Jones, James;From here to eternity.;Jones, James;From Here to Eternity;1951;100;98
mdp.39015005711711;Jones, James;From here to eternity.;Jones, James;From Here to Eternity;1953;100;98
uc1.b3463671;Yerby, Frank;A woman called Fancy.;Yerby, Frank;A Woman Called Fancy;1951;100;98
uc1.b3481743;Caldwell, Taylor;Never victorious, never defeated.;Caldwell, Taylor;Never Victorious, Never Defeated;1954;100;98
uc1.32106002157912;Wouk, Herman;Marjorie Morningstar.;Wouk, Herman;Marjorie Morningstar;1955;100;98
mdp.39015018613631;Brinkley, William;Don't go near the water.;Brinkley, William;Don't Go Near the Water;1956;100;98
mdp.39015014215498;Shute, Nevil;Trustee from the toolroom ;Shute, Nevil;Trustee from the Toolroom;1960;100;98
inu.30000011354887;Fowles, John;The French lieutenant's woman.;Fowles, John;The French Lieutenant's Woman;1970;100;98
mdp.39015066051817;Craven, Margaret;I heard the owl call my name.;Craven, Margaret;I Heard the Owl Call My Name;1974;100;98
uc1.32106002026844;Le Carré, John;A small town in Germany ;Le Carre, John;A Small Town in Germany;1968;93;98
mdp.39015004263276;Le Carré, John;Tinker, tailor, soldier, spy ;Le Carre, John;Tinker, Tailor, Soldier, Spy;1974;93;98
mdp.39015003343988;Erdman, Paul Emil;The billion dollar sure thing ;Erdman, Paul E.;The Billion Dollar Sure Thing;1973;88;98
mdp.39015063548997;Glyn, Elinor;Visits of Elizabeth ;Glyn, Elinor;The Visits of Elizabeth;1901;100;97
uc2.ark+=13960=t8tb0zk8z;Hough, Emerson;The Mississippi bubbl;Hough, Emerson;The Mississippi Bubble;1902;100;97
mdp.39015002717604;Rinehart, Mary Roberts;When a man marries ;Rinehart, Mary Roberts;When a Man Marries;1910;100;97
nyp.33433076023195;Nicholson, Meredith;A Hoosier chronicle ;Nicholson, Meredith;A Hoosier Chronicle;1912;100;97
uc2.ark+=13960=fk2x34ms9c;Grey, Zane;"The Lone Star ranger;";Grey, Zane;The Lone Star Ranger;1915;100;97
uc2.ark+=13960=t8cf9jv1m;Webster, Henry Kitchell;"The real adventure;";Webster, Henry Kitchell;The Real Adventure;1916;100;97
mdp.39015002717745;Rinehart, Mary Roberts;The amazing interlude,;Rinehart, Mary Roberts;The Amazing Interlude;1918;100;97
uc2.ark+=13960=fk3416t51p;Grey, Zane;"The mysterious rider;";Grey, Zane;The Mysterious Rider;1921;100;97
uc1.b3687467;Erskine, John;The private life of Helen of Troy, ;Erskine, John;The Private Life of Helen of Troy;1926;100;97
uc1.$b245139;Wharton, Edith;Twilight sleep ;Wharton, Edith;Twilight Sleep;1927;100;97
uc1.$b799867;Wister, Owen;Lady Baltimore.;Wister, Owen;Lady Baltimore;1906;100;97
mdp.39015066062418;Remarque, Erich Maria;"All quiet on the western front; ";Remarque, Erich Maria;All Quiet on the Western Front;1929;100;97
mdp.49015000541525;Major, Charles;Dorothy Vernon of Haddon Hall  ;Major, Charles;Dorothy Vernon of Haddon Hall;1902;100;97
mdp.39015005332708;Barnes, Margaret Ayer;Years of grace.;Barnes, Margaret Ayer;Years of Grace;1930;100;97
mdp.39015005332708;Barnes, Margaret Ayer;Years of grace.;Barnes, Margaret Ayer;Years of Grace;1931;100;97
mdp.39015065529813;Aldrich, Bess Streeter;A white bird flying,;Aldrich, Bess Streeter;A White Bird Flying;1931;100;97
uc1.$b232542;De la Roche, Mazo;Finch's fortune,;de la Roche, Mazo;Finch's Fortune;1931;100;97
uc1.$b56702;Golding, Louis;Magnolia street.;Golding, Louis;Magnolia Street;1932;100;97
uc1.b3687497;Carroll, Gladys Hasty;As the earth turns ;Carroll, Gladys Hasty;As the Earth Turns;1933;100;97
mdp.39015002725615;Ferber, Edna;Come and get it.;Ferber, Edna;Come and Get It;1935;100;97
mdp.39015002260167;Steinbeck, John;Of mice and men.;Steinbeck, John;Of Mice and Men;1937;100;97
uc1.$b105642;Spring, Howard;My son, my son! ;Spring, Howard;My Son, My Son!;1938;100;97
mdp.39015004063601;Steinbeck, John;The grapes of wrath ;Steinbeck, John;The Grapes of Wrath;1939;100;97
mdp.39015004063601;Steinbeck, John;The grapes of wrath ;Steinbeck, John;The Grapes of Wrath;1940;100;97
uc1.b4097393;Ferber, Edna;Saratoga trunk.;Ferber, Edna;Saratoga Trunk;1941;100;97
mdp.39015025036917;Hersey, John;A bell for Adano ;Hersey, John;A Bell for Adano;1944;100;97
mdp.39015032129218;Remarque, Erich Maria;Arch of triumph ;Remarque, Erich Maria;Arch of Triumph;1946;100;97
mdp.39076000876305;Turnbull, Agnes Sligh;The bishop's mantle.;Turnbull, Agnes Sligh;The Bishop's Mantle;1948;100;97
mdp.39015014854023;Spring, Howard;The houses in between.;Spring, Howard;The Houses in Between;1952;100;97
inu.32000001277732;Du Maurier, Daphne;My cousin Rachel.;du Maurier, Daphne;My Cousin Rachel;1952;100;97
uc1.32106002148002;Steinbeck, John;Sweet Thursday.;Steinbeck, John;Sweet Thursday;1954;100;97
uc1.$b120096;Thompson, Morton;Not as a stranger.;Thompson, Morton;Not as a Stranger;1954;100;97
uc1.$b120096;Thompson, Morton;Not as a stranger.;Thompson, Morton;Not as a Stranger;1955;100;97
mdp.39015014235579;Cozzens, James Gould;By love possessed.;Cozzens, James Gould;By Love Possessed;1957;100;97
uc1.32106002144464;Seton, Anya;The Winthrop woman.;Seton, Anya;The Winthrop Woman;1958;100;97
mdp.39015057934286;Dennis, Patrick;Around the world with Auntie Mame  ;Dennis, Patrick;Around the World with Auntie Mame;1958;100;97
mdp.39015019181323;Davenport, Marcia;The constant image.;Davenport, Marcia;The Constant Image;1960;100;97
mdp.39076005055640;Stewart, Mary;This rough magic.;Stewart, Mary;This Rough Magic;1964;100;97
mdp.39015024078621;MacInnes, Helen;The Salzburg connection.;MacInnes, Helen;The Salzburg Connection;1968;100;97
mdp.39015020690858;Crichton, Michael;The Andromeda strain.;Crichton, Michael;The Andromeda Strain;1969;100;97
mdp.39015004712967;Roth, Philip;Portnoy's complaint.;Roth, Philip;Portnoy's Complaint;1969;100;97
mdp.39015003677161;Forsyth, Frederick;The day of the jackal.;Forsyth, Frederick;The Day of the Jackal;1971;100;97
mdp.39015003677161;Forsyth, Frederick;The day of the jackal.;Forsyth, Frederick;The Day of the Jackal;1972;100;97
mdp.39015049553541;Heller, Joseph;Something happened.;Heller, Joseph;Something Happened;1974;100;97
mdp.39015020735745;Adams, Richard;Watership Down ;Adams, Richard;Watership Down;1974;100;97
