titlemeta_ID	titlemeta_author	titlemeta_title	prize_author	prize_title	prize_date	ratio_author	ratio_title	docid	year
inu.32000003235852	Mann, Thomas	Mario and the magician	Mann, Thomas	#matchall	1929	100	32	inu.32000003235852	1930
mdp.39015003742627	Mann, Thomas	Joseph and his brothers;	Mann, Thomas	#matchall	1929	100	18	mdp.39015003742627	1933
uc1.32106010008610	Mann, Thomas	Young Joseph	Mann, Thomas	#matchall	1929	100	10	uc1.32106010008610	1935
pst.000029139026	Mann, Thomas	Stories of three decades	Mann, Thomas	#matchall	1929	100	18	pst.000029139026	1936
mdp.39015032991039	Mann, Thomas	Joseph in Egypt	Mann, Thomas	#matchall	1929	100	8	mdp.39015032991039	1938
mdp.39015003641076	Mann, Thomas	Joseph the provider	Mann, Thomas	#matchall	1929	100	14	mdp.39015003641076	1944
uc1.b3634598	Mann, Thomas	The tables of the law	Mann, Thomas	#matchall	1929	100	31	uc1.b3634598	1945
wu.89100300524	Manners, William	Father and the angels	Faulkner, William	#matchall	1949	79	33	wu.89100300524	1947
uc1.$b101744	Manners, William	One is a lonesome number	Faulkner, William	#matchall	1949	79	12	uc1.$b101744	1950
mdp.39015062473205	Marquand, John P. (John Phillips)	The unspeakable gentleman	Marquand, John Phillips	The Late George Apley	1938	82	37	mdp.39015062473205	1922
uc1.$b242676	Marquand, John P. (John Phillips)	Four of a kind	Marquand, John Phillips	The Late George Apley	1938	82	26	uc1.$b242676	1923
mdp.39015008963723	Marquand, John P. (John Phillips)	The black cargo	Marquand, John Phillips	The Late George Apley	1938	82	36	mdp.39015008963723	1925
uc1.$b242662	Marquand, John P. (John Phillips)	Warning Hill	Marquand, John Phillips	The Late George Apley	1938	82	34	uc1.$b242662	1930
inu.30000114426327	Marquand, John P. (John Phillips)	Haven's end	Marquand, John Phillips	The Late George Apley	1938	82	29	inu.30000114426327	1933
uc1.$b242663	Marquand, John P. (John Phillips)	Thank You, Mr. Moto	Marquand, John Phillips	The Late George Apley	1938	82	28	uc1.$b242663	1936
osu.32435012836037	Marquand, John P. (John Phillips)	Think fast, Mr. Moto	Marquand, John Phillips	The Late George Apley	1938	82	27	osu.32435012836037	1937
uc1.$b242669	Marquand, John P. (John Phillips)	Mr. Moto is so sorry	Marquand, John Phillips	The Late George Apley	1938	82	27	uc1.$b242669	1938
uc1.b3710903	Marquand, John P. (John Phillips)	Wickford Point	Marquand, John Phillips	The Late George Apley	1938	82	26	uc1.b3710903	1939
uc1.$b102235	Marquand, John P. (John Phillips)	H.M. Pulham, esquire	Marquand, John Phillips	The Late George Apley	1938	82	32	uc1.$b102235	1941
uc1.$b242673	Marquand, John P. (John Phillips)	Last laugh, Mr. Moto	Marquand, John Phillips	The Late George Apley	1938	82	38	uc1.$b242673	1942
mdp.39015048901733	Marquand, John P. (John Phillips)	So little time	Marquand, John Phillips	The Late George Apley	1938	82	32	mdp.39015048901733	1943
mdp.39015002135617	Millar, Margaret	Fire will freeze	Mitchell, Margaret	Gone With the Wind	1937	82	35	mdp.39015002135617	1944
mdp.39015030760931	Millar, Margaret	Do evil in return	Mitchell, Margaret	Gone With the Wind	1937	82	40	mdp.39015030760931	1950
uc1.$b106348	Miller, Merle	Island 49	Miller, Caroline	Lamb in His Bosom	1934	76	31	uc1.$b106348	1945
mdp.39015037774505	Miller, Merle	The sure thing	Miller, Caroline	Lamb in His Bosom	1934	76	22	mdp.39015037774505	1949
mdp.39015005776847	Mitchell, Margaret	Gone with the wind	Mitchell, Margaret	Gone With the Wind	1937	100	100	mdp.39015005776847	1936
mdp.39015000544778	Peterkin, Julia Mood	Green Thursday; stories	Peterkin, Julia	Scarlet Sister Mary	1929	86	33	mdp.39015000544778	1924
uc1.b4390692	Peterkin, Julia Mood	Black April; a novel	Peterkin, Julia	Scarlet Sister Mary	1929	86	31	uc1.b4390692	1927
