titlemeta_ID;titlemeta_author;titlemeta_title;prize_author;prize_title;prize_date;ratio_author;ratio_title
mdp.39015029714642;Lewis, Sinclair;Main Street & Babbitt  ;Lewis, Sinclair;#matchall;1930;100;25
wu.89042492249;Hamsun, Knut;Night roamers and other stories  ;Hamsun, Knut;#matchall;1920;100;19
inu.30000025899661;Mann, Thomas;Confessions of Felix Krull, confidence man :  the early years  ;Mann, Thomas;#matchall;1929;100;17
uc1.32106017269629;Hesse, Hermann;Narcissus and Goldmund  ;Hesse, Hermann;#matchall;1946;100;24
uc1.32106011053425;Faulkner, William;Novels 1942-1954  ;Faulkner, William;#matchall;1949;100;7
mdp.39015032230149;Deledda, Grazia;Chiaroscuro and other stories  ;Deledda, Grazia;#matchall;1926;100;15
mdp.39015034382153;Deledda, Grazia;After the divorce  ;Deledda, Grazia;#matchall;1926;100;21
mdp.39015034429012;Deledda, Grazia;Elias Portolu  ;Deledda, Grazia;#matchall;1926;100;25
mdp.39015034518103;Hesse, Hermann;The fairy tales of Hermann Hesse  ;Hesse, Hermann;#matchall;1946;100;21
uc1.32106011112015;Hamsun, Knut;Wayfarers  ;Hamsun, Knut;#matchall;1920;100;20
uc1.32106014763186;Lewis, Sinclair;If I were boss :  the early business stories of Sinclair Lewis  ;Lewis, Sinclair;#matchall;1930;100;14
mdp.39015048770245;Mann, Thomas;Death in Venice, Tonio Kröger, and other writings  ;Mann, Thomas;#matchall;1929;100;13
mdp.49015002490366;Faulkner, William;Novels, 1957-1962  ;Faulkner, William;#matchall;1949;100;7
mdp.39015056664553;Faulkner, William;As I lay dying :  the corrected text  ;Faulkner, William;#matchall;1949;100;13
mdp.39015052652818;Hamsun, Knut;A wanderer plays on muted strings  ;Hamsun, Knut;#matchall;1920;100;14
uc1.32106016187293;Undset, Sigrid;The unknown Sigrid Undset :  Jenny and other works  ;Undset, Sigrid;#matchall;1928;100;11
mdp.39015055479847;Lewis, Sinclair;"Arrowsmith ;  Elmer Gantry ; Dodsworth  ";Lewis, Sinclair;#matchall;1930;100;16
mdp.39015058120091;Hamsun, Knut;The last joy  ;Hamsun, Knut;#matchall;1920;100;21
wu.89083198812;Pontoppidan, Henrik;The polar bear :  a portrait  ;Pontoppidan, Henrik;#matchall;1917;100;17
mdp.39015058207385;Deledda, Grazia;Ashes  ;Deledda, Grazia;#matchall;1926;100;25
mdp.39015061325083;Mann, Thomas;Six early stories  ;Mann, Thomas;#matchall;1929;100;14
uc1.32106018935491;Faulkner, William;Novels, 1926-1929  ;Faulkner, William;#matchall;1949;100;7
mdp.39015063352317;Deledda, Grazia;Marianna Sirca  ;Deledda, Grazia;#matchall;1926;100;32
mdp.39015064760872;Hesse, Hermann;Siddhartha :  an Indian poem  ;Hesse, Hermann;#matchall;1946;100;21
inu.30000095637116;Lewis, Sinclair;The short stories of Sinclair Lewis (1904-1949)  ;Lewis, Sinclair;#matchall;1930;100;15
nyp.33433076055130;Poole, Ernest;His family.;Poole, Ernest;His Family;1918;100;95
nyp.33433076080831;Tarkington, Booth;The magnificent Ambersons  ;Tarkington, Booth;The Magnificent Ambersons;1919;100;95
uc2.ark+=13960=t29883p23;Tarkington, Booth;The magnificent Ambersons;Tarkington, Booth;The Magnificent Ambersons;1919;100;100
nyp.33433076079080;Wharton, Edith;The age of innocence, ;Wharton, Edith;The Age of Innocence;1921;100;94
uc1.b3569278;Tarkington, Booth;Alice Adams.;Tarkington, Booth;Alice Adams;1922;100;96
mdp.39015008779871;Cather, Willa;One of ours ;Cather, Willa;One of Ours;1923;100;96
mdp.39015030775509;Wilson, Margaret;The able McLaughlins.;Wilson, Margaret;The Able McLaughlins;1924;100;97
uc1.b4097394;Ferber, Edna;So big.;Ferber, Edna;So Big;1925;100;92
mdp.39015000636111;Lewis, Sinclair;Arrowsmith  ;Lewis, Sinclair;Arrowsmith;1926;100;91
uc1.b3687205;Bromfield, Louis;"Early autumn;  a story of a lady, ";Bromfield, Louis;Early Autumn;1927;100;52
mdp.39015008251194;Wilder, Thornton;The bridge of San Luis Rey... ;Wilder, Thornton;The Bridge of San Luis Rey;1928;100;92
mdp.39015005332708;Barnes, Margaret Ayer;Years of grace.;Barnes, Margaret Ayer;Years of Grace;1931;100;97
uc1.$b243329;Johnson, Josephine Winslow;Now in November, ;Johnson, Josephine Winslow;Now in November;1935;100;94
mdp.39015005776847;Mitchell, Margaret;Gone with the wind  ;Mitchell, Margaret;Gone With the Wind;1937;100;95
uc1.32106002139753;Rawlings, Marjorie Kinnan;"The yearling; ";Rawlings, Marjorie Kinnan;The Yearling;1939;100;89
mdp.39015004063601;Steinbeck, John;The grapes of wrath ;Steinbeck, John;The Grapes of Wrath;1940;100;97
uc1.b4088966;Sinclair, Upton;Dragon's teeth  ;Sinclair, Upton;Dragon's Teeth;1943;100;93
uc1.$b104464;Flavin, Martin;Journey in the dark, ;Flavin, Martin;Journey in the Dark;1944;100;95
mdp.39015025036917;Hersey, John;A bell for Adano ;Hersey, John;A Bell for Adano;1945;100;97
uc1.32106002152723;Warren, Robert Penn;All the king's men,;Warren, Robert Penn;All the King's Men;1947;100;97
uc1.b4386187;Cozzens, James Gould;Guard of honor  ;Cozzens, James Gould;Guard of Honor;1949;100;93
osu.32435080841075;Bromfield, Louis;Early autumn  ;Bromfield, Louis;Early Autumn;1927;100;92
mdp.39015003870592;Steinbeck, John;The grapes of wrath :  text and criticism  ;Steinbeck, John;The Grapes of Wrath;1940;100;56
uiuo.ark+=13960=t00002z3m;Bunin, Ivan Alekseevich;The gentleman from San Francisco,  and other stories, ;Bunin, Ivan Alekseyevich;#matchall;1933;98;14
uc1.b4084477;Bunin, Ivan Alekseevich;"The village; ";Bunin, Ivan Alekseyevich;#matchall;1933;98;22
uc1.b4386988;Bunin, Ivan Alekseevich;"The dreams of Chang, and other stories;  authorized translation from the Russian of Ivan Bunin, ";Bunin, Ivan Alekseyevich;#matchall;1933;98;12
uc1.32106001599841;Bunin, Ivan Alekseevich;"The village;  authorized translation from the Russian of Ivan Bunin, ";Bunin, Ivan Alekseyevich;#matchall;1933;98;14
uc1.b4084475;Bunin, Ivan Alekseevich;Fifteen tales  ;Bunin, Ivan Alekseyevich;#matchall;1933;98;25
mdp.39015003559088;Bunin, Ivan Alekseevich;Mitya's love, ;Bunin, Ivan Alekseyevich;#matchall;1933;98;35
uc1.b4395868;Bunin, Ivan Alekseevich;Grammar of love, ;Bunin, Ivan Alekseyevich;#matchall;1933;98;23
uc1.32106006749938;Bunin, Ivan Alekseevich;The Elaghin affair and other stories ;Bunin, Ivan Alekseyevich;#matchall;1933;98;14
inu.32000002913129;Bunin, Ivan Alekseevich;Dark avenues, and other stories  ;Bunin, Ivan Alekseyevich;#matchall;1933;98;14
uc1.b4395869;Bunin, Ivan Alekseevich;Shadowed paths.  Edited by Philippa;Bunin, Ivan Alekseyevich;#matchall;1933;98;18
mdp.39015005082840;Bunin, Ivan Alekseevich;Shadowed paths and other stories. ;Bunin, Ivan Alekseyevich;#matchall;1933;98;19
mdp.39015008100367;Bunin, Ivan Alekseevich;In a far distant land :  selected stories  ;Bunin, Ivan Alekseyevich;#matchall;1933;98;19
uc1.32106005569873;Bunin, Ivan Alekseevich;Long ago :  fourteen stories  ;Bunin, Ivan Alekseyevich;#matchall;1933;98;10
mdp.39015017926208;Bunin, Ivan Alekseevich;Wolves & other love stories  ;Bunin, Ivan Alekseyevich;#matchall;1933;98;16
uc1.32106018613668;Bunin, Ivan Alekseevich;Night of denial :  stories and novellas  ;Bunin, Ivan Alekseyevich;#matchall;1933;98;20
nyp.33433074788724;Man, Thomas;"A picture of Woonsocket;  or, The truth in its nudity; ";Mann, Thomas;#matchall;1929;96;12
njp.32101067643518;Falconer, William;"Bloom and brier;  or, As I saw it, long ago. A southern romance. ";Faulkner, William;#matchall;1949;88;14
uc1.32106018278371;Buck, Paul;Spread wide  ;Buck, Pearl;#matchall;1938;86;9
pst.000019745510;Peterkin, Julia Mood;Scarlet sister Mary  ;Peterkin, Julia;Scarlet Sister Mary;1929;86;95
uc1.b4087559;La Farge, Oliver;Laughing Boy, ;Farge, Oliver La;Laughing Boy;1930;81;92
pst.000022269416;Miller, Caroline Pafford;Lamb in his bosom  ;Miller, Caroline;Lamb in His Bosom;1934;80;94
