titlemeta_ID;titlemeta_author;titlemeta_title;prize_author;prize_title;prize_date;ratio_author;ratio_title
mdp.49015002005891;Galsworthy, John;The works of John Gal;Galsworthy, John;#matchall;1932;100;23
uc2.ark+=13960=t6639wq6t;Deledda, Grazia;The woman & the ;Deledda, Grazia;#matchall;1926;100;38
uc2.ark+=13960=t6d21s33j;Lewis, Sinclair;Main Street;Lewis, Sinclair;#matchall;1930;100;30
uiuo.ark+=13960=t1mg7jq62;France, Anatole;At the sign of the Rei;France, Anatole;#matchall;1921;100;19
uc2.ark+=13960=t26972q3n;France, Anatole;Crainquebille;France, Anatole;#matchall;1921;100;36
wu.89099437436;France, Anatole;The works of Anatole France in an English translation  ;France, Anatole;#matchall;1921;100;20
nyp.33433074972435;Lewis, Sinclair;Babbitt  ;Lewis, Sinclair;#matchall;1930;100;22
uva.x030581232;Galsworthy, John;The Forsyte saga, ;Galsworthy, John;#matchall;1932;100;17
uc1.$b317729;France, Anatole;The Queen Pedauque ;France, Anatole;#matchall;1921;100;8
inu.32000007957246;Hamsun, Knut;Victoria  ;Hamsun, Knut;#matchall;1920;100;21
uc1.$b598496;France, Anatole;The bloom of life  ;France, Anatole;#matchall;1921;100;17
uc1.b3266981;Galsworthy, John;International thought, ;Galsworthy, John;#matchall;1932;100;25
uiuo.ark+=13960=t8cf9nn2n;Deledda, Grazia;The mother. ;Deledda, Grazia;#matchall;1926;100;35
uc1.32106007729483;Hamsun, Knut;"Victoria;  a love story. ";Hamsun, Knut;#matchall;1920;100;18
uc1.b3314117;France, Anatole;"The works of Anatole France in English; ";France, Anatole;#matchall;1921;100;18
uc1.b3834398;Galsworthy, John;Captures,;Galsworthy, John;#matchall;1932;100;22
mdp.39015030027653;Hamsun, Knut;Children of the age, ;Hamsun, Knut;#matchall;1920;100;20
uc1.$b87340;Galsworthy, John;The white monkey, ;Galsworthy, John;#matchall;1932;100;9
mdp.39015009172829;France, Anatole;"The wicker work woman; :  a chronicle of our own times,  ";France, Anatole;#matchall;1921;100;16
mdp.39015030368602;France, Anatole;On life and le;France, Anatole;#matchall;1921;100;17
uc1.$b317455;France, Anatole;The opinions of Jérôme Coignard  ;France, Anatole;#matchall;1921;100;15
uc1.$b318413;Gide, André;Strait is the gate (La porte étroite) ;Gide, André;#matchall;1947;100;21
uc1.b2886834;France, Anatole;The works of A;France, Anatole;#matchall;1921;100;11
mdp.39015003679712;Galsworthy, John;Caravan,  the;Galsworthy, John;#matchall;1932;100;27
