Author;Clean_name;Google;Wiki_par;Wiki_natio;Wiki_link;Nationality
Black, Clementina;Black Clementina;;English;;https://en.wikipedia.org/wiki/Clementina_Black;English
Wägner, W;Wägner W;Swedish;Swedish;;https://en.wikipedia.org/wiki/Elin_Wägner;Swedish
Clutton-Brock, Ellen;Clutton-Brock Ellen;;English;;https://en.wikipedia.org/wiki/Arthur_Clutton-Brock;English
[Sprague, Mary Aplin];Sprague Mary Aplin;;;;;
S??gur, Sophie;S??gur Sophie;;;;;
Hay, Mary Cecil;Hay Mary Cecil;British;British;;https://en.wikipedia.org/wiki/Mary_Cecil_Hay;British
Yeames, James;Yeames James;;Jamaican;;https://en.wikipedia.org/wiki/Marlon_James_(novelist);Jamaican
Hoffman, Franz;Hoffman Franz;;German;;https://en.wikipedia.org/wiki/Georg_Franz_Hoffmann;German
Kip, Leonard;Kip Leonard;;Dutch;;https://en.wikipedia.org/wiki/Leonard_Kip;Dutch
Payn, J;Payn J;;English;;https://en.wikipedia.org/wiki/Robert_Payne_(author);English
Smith, George;Smith George;American;American;;https://en.wikipedia.org/wiki/George_O._Smith;American
Carlyle, Thomas;Carlyle Thomas;Scottish;Scottish;;https://en.wikipedia.org/wiki/Thomas_Carlyle;Scottish
Clarke, Marcus Andrew Hislop;Clarke Marcus Andrew Hislop;Australian;English;Australian;https://en.wikipedia.org/wiki/Marcus_Clarke;Australian
Dostoyevsky, Fyodor;Dostoyevsky Fyodor;;;;;
Fitzgerald, Sarah Jane;Fitzgerald Sarah Jane;;;;;
Stanley, Arthur Penrhyn;Stanley Arthur Penrhyn;;English Anglican;English;https://en.wikipedia.org/wiki/Arthur_Penrhyn_Stanley;English
Holland, J. G. (Josiah Gilbert);Josiah Gilbert Holland;American;American;;https://en.wikipedia.org/wiki/Josiah_Gilbert_Holland;American
Beerbohm, Julius;Beerbohm Julius;;Victorian;;https://en.wikipedia.org/wiki/Julius_Beerbohm;Victorian
Baring-Gould, S. (Sabine);Sabine Baring-Gould;;Anglican;British;https://en.wikipedia.org/wiki/Sabine_Baring-Gould;British
Fraser, Joshua;Fraser Joshua;;English;;https://en.wikipedia.org/wiki/John_Fraser_(novelist,_poet);English
Fort, Glorvina. [from old catalog];Fort Glorvina. from old catalog;;;;;
Fields, J. T;Fields J. T;;;;;
Hatton, Joseph;Hatton Joseph;;English;;https://en.wikipedia.org/wiki/Joseph_Hatton;English
Payn, James;Payn James;American;English;;https://en.wikipedia.org/wiki/George_Payne_Rainsford_James;American
Middlemore, Maria Trinidad Howard Sturgis;Middlemore Maria Trinidad Howard Sturgis;;American;;https://en.wikipedia.org/wiki/Maria_Trinidad_Howard_Sturgis_Middlemore;American
Solly, Henry;Solly Henry;;English;;https://en.wikipedia.org/wiki/Henry_Solly;English
Briggs, William Harlowe;Briggs William Harlowe;;;;;
Fane, Violet;Fane Violet;;British;;https://en.wikipedia.org/wiki/Violet_Fane;British
Campbell, John Logan;Campbell John Logan;;Scottish;;https://en.wikipedia.org/wiki/John_Logan_Campbell;Scottish
professor. Blot;professor. Blot;;;;;
Bagot, A. G. (Arthur Greville);Arthur Greville Bagot;;;;https://en.wikipedia.org/wiki/Category:Wikipedia_articles_incorporating_a_citation_from_SBDEL_with_no_article_parameter;
Optic, Oliver;Optic Oliver;;;;;
Wilson, F. T;Wilson F. T;;;;https://en.wikipedia.org/wiki/F._Paul_Wilson;
Nox, Owen;Nox Owen;;;;;
Herv??, Charles Stanley;Herv?? Charles Stanley;;Christian;;https://en.wikipedia.org/wiki/Charles_Stanley;Christian
Walton, O. F., Mrs;Walton O. F. Mrs;;English;;https://en.wikipedia.org/wiki/Amy_Catherine_Walton;English
Northrup, A. Judd (Ansel Judd);Ansel Judd Northrup;;;;;
Bottrell, William;Bottrell William;;American;;https://en.wikipedia.org/wiki/Bill_Bottrell;American
Bell, Frederick;Bell Frederick;;American;;https://en.wikipedia.org/wiki/Fred_Bell;American
Johnson, Rossiter;Johnson Rossiter;;American;;https://en.wikipedia.org/wiki/Rossiter_Johnson;American
Bishop, Fitzgerald, O. P. (Oscar Penn);Bishop Fitzgerald O. P. (Oscar Penn);;;;https://en.wikipedia.org/wiki/Oscar_Penn_Fitzgerald;
Jewett, Sarah Orne;Jewett Sarah Orne;American;American;;https://en.wikipedia.org/wiki/Sarah_Orne_Jewett;American
Vikelas, Dēmētrios;Vikelas Dēmētrios;;Greek;;https://en.wikipedia.org/wiki/Demetrios_Vikelas;Greek
Borrow, George Henry;Borrow George Henry;English;English;;https://en.wikipedia.org/wiki/George_Borrow;English
Shorthouse, J. H. (Joseph Henry);Joseph Henry Shorthouse;;English;;https://en.wikipedia.org/wiki/Joseph_Henry_Shorthouse;English
Van Dyke, Theodore S. (Theodore Strong);Theodore Strong Van Dyke;;;;;
Arthur, T. S. (Timothy Shay);Timothy Shay Arthur;American;American;;https://en.wikipedia.org/wiki/Timothy_Shay_Arthur;American
Lanier, Sidney;Lanier Sidney;;American;American;https://en.wikipedia.org/wiki/Sidney_Lanier;American
Bates, Margaret Holmes;Bates Margaret Holmes;American;American;American;https://en.wikipedia.org/wiki/Margret_Holmes_Bates;American
Cooke, Rose Terry;Cooke Rose Terry;American;American;American;https://en.wikipedia.org/wiki/Rose_Terry_Cooke;American
Mawer, E. B;Mawer E. B;British;British;;https://en.wikipedia.org/wiki/Simon_Mawer;British
Ambofilius;Ambofilius;;;;;
Hepworth, George H. (George Hughes);George Hughes Hepworth;Theologian;;;;Theologian
Miller, J. (Joaquin);Joaquin Miller;American;American;;https://en.wikipedia.org/wiki/Joaquin_Miller;American
Phelps, Elizabeth Stuart;Phelps Elizabeth Stuart;American;American;American;https://en.wikipedia.org/wiki/Elizabeth_Stuart_Phelps_Ward;American
Barnard, Charles;Barnard Charles;;;;;
Lindsay, J. T;Lindsay J. T;;;;;
Ebers, Georg;Ebers Georg;German;a German;;https://en.wikipedia.org/wiki/Georg_Ebers;German
Newton, Emma Mersereau;Newton Emma Mersereau;;;;;
Latimer, Elizabeth Wormeley;Latimer Elizabeth Wormeley;American;English-American;;https://en.wikipedia.org/wiki/Elizabeth_Wormeley_Latimer;American
Norris, W. E. (William Edward);William Edward Norris;;English;;https://en.wikipedia.org/wiki/William_Edward_Norris;English
Earl of Beaconsfield, Disraeli, Benjamin;Earl of Beaconsfield Disraeli Benjamin;;British;;https://en.wikipedia.org/wiki/Benjamin_Disraeli;British
Paddock, A. G, Mrs;Paddock A. G Mrs;;German;;https://en.wikipedia.org/wiki/Die_Hand_Die_Verletzt;German
Spence, Catherine Helen;Spence Catherine Helen;Australian;Scottish;Australian;https://en.wikipedia.org/wiki/Catherine_Helen_Spence;Australian
Linton, E. Lynn (Elizabeth Lynn);Elizabeth Lynn Linton;;;;https://en.wikipedia.org/wiki/Eliza_Lynn_Linton;
Dickens, Helen;Dickens Helen;;English Braille;;https://en.wikipedia.org/wiki/Helen_Keller;English Braille
Baker, William Mumford;Baker William Mumford;;;;;
Chellis, Mary Dwinell;Chellis Mary Dwinell;;;;;
Howells, William Dean;Howells William Dean;American;American;;https://en.wikipedia.org/wiki/William_Dean_Howells;American
Disraeli, Benjamin, Earl of Beaconsfield;Disraeli Benjamin Earl of Beaconsfield;;British;;https://en.wikipedia.org/wiki/Benjamin_Disraeli;British
Alexander, G. G;Alexander G. G;;;;;
Mackay, Charles;Mackay Charles;;Scottish;;https://en.wikipedia.org/wiki/Charles_Mackay_(author);Scottish
Burnham, Clara Louise;Burnham Clara Louise;;American;;https://en.wikipedia.org/wiki/Clara_Louise_Burnham;American
Pisemskiĭ, A. F. (Alekseĭ Feofilaktovich);Alekseĭ Feofilaktovich Pisemskiĭ;;;;;
Bray, (Emily Octavia), Mrs;Emily Octavia Bray;;;;;
Praed, Campbell, Mrs;Praed Campbell Mrs;Australian;Australian;;https://en.wikipedia.org/wiki/Rosa_Campbell_Praed;Australian
Smith, Fannie N;Smith Fannie N;;;;https://en.wikipedia.org/wiki/Fanny_Irvine-Smith;
Crommelin, May;Crommelin May;;French;;https://en.wikipedia.org/wiki/May_Crommelin;French
Mills, John;Mills John;Canadian;Canadian;;https://en.wikipedia.org/wiki/John_Mills_(writer);Canadian
Conyngham, David Power;Conyngham David Power;;Irish;;https://en.wikipedia.org/wiki/David_Power_Conyngham;Irish
