Author;Clean_name;Google;Wiki_par;Wiki_natio;Wiki_link;Nationality
Johnson, Virginia W. (Virginia Wales);Virginia Wales Johnson;;;;https://en.wikipedia.org/wiki/Virginia_Wales_Johnson;
Henslowe, J. R;Henslowe J. R;;;;;
Thomas, Mary Von-Erden;Thomas Mary Von-Erden;;;;;
Cambridge, Ada;Cambridge Ada;English-Australian;English;;https://en.wikipedia.org/wiki/Ada_Cambridge;English-Australian
Merivale, Herman Charles;Merivale Herman Charles;English;English;;https://en.wikipedia.org/wiki/Herman_Charles_Merivale;English
Brent, John;Brent John;;English;;https://en.wikipedia.org/wiki/John_Brent_(antiquary);English
Russell, William Clark;Russell William Clark;;English;;https://en.wikipedia.org/wiki/William_Clark_Russell;English
Westall, William;Westall William;;English;;https://en.wikipedia.org/wiki/William_Bury_Westall;English
Hausrath, Adolf;Hausrath Adolf;Theologian;German;;https://en.wikipedia.org/wiki/Adolph_Hausrath;Theologian
Gobineau, Arthur, comte de;Gobineau Arthur comte de;;French;French;https://en.wikipedia.org/wiki/Arthur_de_Gobineau;French
Lathrop, George Parsons, 1851-1898;Lathrop George Parsons 1851-1898;;American;;https://en.wikipedia.org/wiki/George_Parsons_Lathrop;American
Daudet, Alphonse;Daudet Alphonse;French;French;;https://en.wikipedia.org/wiki/Alphonse_Daudet;French
Blackmore, R. D. (Richard Dooddridge);Richard Dooddridge Blackmore;English;English;;https://en.wikipedia.org/wiki/R._D._Blackmore;English
Morrow, William Chambers;Morrow William Chambers;American;American;;https://en.wikipedia.org/wiki/W._C._Morrow;American
Kelly, Tom;Kelly Tom;;American;;https://en.wikipedia.org/wiki/Tom_Kelly_(musician);American
Crawford, F. Marion (Francis Marion);Francis Marion Crawford;American;American;;https://en.wikipedia.org/wiki/Francis_Marion_Crawford;American
Hardy, Thomas;Hardy Thomas;English;English;;https://en.wikipedia.org/wiki/Thomas_Hardy;English
Collins, Frances Cotton;Collins Frances Cotton;;American;;https://en.wikipedia.org/wiki/Francis_Collins;American
Glascock, Mary W;Glascock Mary W;;;;;
McPherson, M E;McPherson M E;;American;;https://en.wikipedia.org/wiki/Evan_McPherson;American
Boyle, Frederick;Boyle Frederick;;English;;https://en.wikipedia.org/wiki/Frederick_Boyle;English
Horn, Georg;Horn Georg;;;;;
Forrester, Mrs;Forrester Mrs;;;;;
Warner, Anna Bartlett;Warner Anna Bartlett;American;American;;https://en.wikipedia.org/wiki/Anna_Bartlett_Warner;American
Lyall, Edna;Lyall Edna;English;English;English;https://en.wikipedia.org/wiki/Ada_Ellen_Bayly;English
Ballantyne, R. M. (Robert Michael);Robert Michael Ballantyne;Scottish;Scottish;Scottish;https://en.wikipedia.org/wiki/R._M._Ballantyne;Scottish
Strathesk, John;Strathesk John;;;;;
Kickham, Charles Joseph;Kickham Charles Joseph;;Irish;Irish;https://en.wikipedia.org/wiki/Charles_Kickham;Irish
Andrews, Eliza Frances;Andrews Eliza Frances;;Southern;;https://en.wikipedia.org/wiki/Eliza_Frances_Andrews;Southern
Villars, Mary H;Villars Mary H;;;;;
Sheldon, Georgie, Mrs;Sheldon Georgie Mrs;;;;;
Stirling, M. C;Stirling M. C;;Canadian;American;https://en.wikipedia.org/wiki/S._M._Stirling;American
Bernstein, Henny;Bernstein Henny;;;;;
Spofford, Harriet Elizabeth Prescott, Mrs;Spofford Harriet Elizabeth Prescott Mrs;;American;American;https://en.wikipedia.org/wiki/Harriet_Elizabeth_Prescott_Spofford;American
Parr, Louisa;Parr Louisa;;British;British;https://en.wikipedia.org/wiki/Louisa_Parr;British
Hartley, May Laffan, Mrs;Hartley May Laffan Mrs;;Irish;Irish;https://en.wikipedia.org/wiki/May_Laffan;Irish
Michener, Frances Lavinia;Michener Frances Lavinia;;;;;
Molloy, J. Fitzgerald (Joseph Fitzgerald);Joseph Fitzgerald Molloy;;;;;
Manly, Marline;Manly Marline;;American;;https://en.wikipedia.org/wiki/Mr._Manly;American
Vervins, Nicolas Alfred de;Vervins Nicolas Alfred de;;Swedish;;https://en.wikipedia.org/wiki/List_of_nominees_for_the_Nobel_Prize_in_Literature;Swedish
Clare, Austin;Clare Austin;;American;;https://en.wikipedia.org/wiki/Claire_Austin;American
Greer, Maria J;Greer Maria J;;;;;
Macquoid, Katharine S;Macquoid Katharine S;;British;;https://en.wikipedia.org/wiki/Katharine_Sarah_Macquoid;British
Jenner, Henry, Mrs;Jenner Henry Mrs;;Celtic;;https://simple.wikipedia.org/wiki/Henry_Jenner;Celtic
Lean, Florence;Lean Florence;;British;;https://en.wikipedia.org/wiki/Florence_Marryat;British
Brine, Mary D;Brine Mary D;;;;;
Ouina (Spirit);Ouina (Spirit);;Spiritualists;;https://en.wikipedia.org/wiki/Ouija;Spiritualists
Roe, E. R;Roe E. R;;American;;https://en.wikipedia.org/wiki/Vingie_E._Roe;American
Randolph;Randolph;;;;;
Mathews, Cornelius;Mathews Cornelius;American;American;;https://en.wikipedia.org/wiki/Cornelius_Mathews;American
Butler, William Francis, Sir;Butler William Francis Sir;;Irish;;https://en.wikipedia.org/wiki/William_Butler_(British_Army_officer);Irish
Monti, Luigi;Monti Luigi;;;;;
McGloin, Frank;McGloin Frank;;;;;
Paget, Francis Edward;Paget Francis Edward;;;;;
Daunt, Achilles;Daunt Achilles;;Irish;;https://en.wikipedia.org/wiki/Achilles_Daunt;Irish
Allen, Marie T. [from old catalog];Allen Marie T. from old catalog;;;;;
Wood, Charles W. (Charles William);Charles William Wood;;;;https://en.wikipedia.org/wiki/Charles_Wood_(playwright);
Barnes, Charles J. (Charles Joseph);Charles Joseph Barnes;;;;;
Boteler, John Harvey;Boteler John Harvey;;British;;https://en.wikipedia.org/wiki/John_Harvey_(author);British
Gilchrist, Anne Burrows;Gilchrist Anne Burrows;;English;;https://en.wikipedia.org/wiki/Anne_Gilchrist_(writer);English
Saunders, Frederick;Saunders Frederick;American;English;;https://en.wikipedia.org/wiki/Frederick_Saunders;American
Aimard, Gustave;Aimard Gustave;;American;;https://en.wikipedia.org/wiki/Gustave_Aimard;American
Robinson, A. Mary F;Robinson A. Mary F;;American;American;https://en.wikipedia.org/wiki/Mary_Robison;American
Myrtle, Mon;Myrtle Mon;;;;;
James King of Aragon;James King of Aragon;;Spanish;;https://en.wikipedia.org/wiki/James_I_of_Aragon;Spanish
Doyle, Richard;Doyle Richard;British;British;;https://en.wikipedia.org/wiki/Richard_Doyle_(author);British
Bowles, Thomas Gibson;Bowles Thomas Gibson;;English;;https://en.wikipedia.org/wiki/Thomas_Gibson_Bowles;English
Goodhue, James Madison;Goodhue James Madison;;American;;https://en.wikipedia.org/wiki/James_M._Goodhue;American
Thorpe, Rose (Hartwick);Hartwick Thorpe;American;American;American;https://en.wikipedia.org/wiki/Rose_Hartwick_Thorpe;American
Hathaway, Benjamin Adams;Hathaway Benjamin Adams;;;;;
Turgenev, Ivan Sergi︠e︡evích;Turgenev Ivan Sergi︠e︡evích;;English;;https://en.wikipedia.org/wiki/Ivan_Turgenev;English
Smyth, Patrick Grehan;Smyth Patrick Grehan;;;;;
Reid, Mayne;Reid Mayne;;English;;https://en.wikipedia.org/wiki/2010_in_the_United_Kingdom;English
French, Harry W. (Harry Willard);Harry Willard French;;;;;
French, Henry W[illard] [from old catalog];French Henry Willard from old catalog;;American;American;https://en.wikipedia.org/wiki/Henry_Willard_Denison;American
Asbj??rnsen, Peter Christen;Asbj??rnsen Peter Christen;Norwegian;Norwegian;;https://en.wikipedia.org/wiki/Peter_Christen_Asbjørnsen;Norwegian
Thomes, William H. (William Henry);William Henry Thomes;English;American;American;https://en.wikipedia.org/wiki/William_H._Thomas_(physician);American
Hoppin, Augustus;Hoppin Augustus;American;American;;https://en.wikipedia.org/wiki/Augustus_Hoppin;American
Church, Alfred John;Church Alfred John;;English;;https://en.wikipedia.org/wiki/Alfred_John_Church;English
Bray, (Anna Eliza), Mrs;Anna Eliza Bray;;English;British;https://en.wikipedia.org/wiki/Anna_Eliza_Bray;British
Alexander, Francesca;Alexander Francesca;American;American;American;https://en.wikipedia.org/wiki/Francesca_Alexander;American
Meyers, Robert Cornelius V;Meyers Robert Cornelius V;;;;;
Runciman, James;Runciman James;English;English;;https://en.wikipedia.org/wiki/James_Runciman;English
Wagner, Richard;Wagner Richard;;Romanian;German;https://en.wikipedia.org/wiki/Richard_Wagner_(novelist);German
Calverley, Charles Stuart;Calverley Charles Stuart;English;English;;https://en.wikipedia.org/wiki/Charles_Stuart_Calverley;English
Conklin, Nathaniel, Mrs;Conklin Nathaniel Mrs;American;;;;American
Sherard, Robert Harborough;Sherard Robert Harborough;English;English;;https://en.wikipedia.org/wiki/Robert_Sherard;English
Waring, George E. (George Edwin);George Edwin Waring;;American;American;https://en.wikipedia.org/wiki/George_E._Waring_Jr.;American
Niemojowski, Ludwik;Niemojowski Ludwik;;Polish;;https://en.wikipedia.org/wiki/Kurjer_Lubelski;Polish
Bates, L;Bates L;English;English;;https://en.wikipedia.org/wiki/H._E._Bates;English
Browne, Tryphena Matilda Archer;Browne Tryphena Matilda Archer;;;;;
Buxton, Bertha H. (Leopold);Leopold Buxton;;Austrian;;https://en.wikipedia.org/wiki/Leopold_Engleitner;Austrian
Dahlgren, Madeleine Vinton;Dahlgren Madeleine Vinton;;American;American;https://en.wikipedia.org/wiki/Madeleine_Vinton_Dahlgren;American
Champney, Elizabeth W. (Elizabeth Williams);Elizabeth Williams Champney;;American;American;https://en.wikipedia.org/wiki/Elizabeth_Williams_Champney;American
Ellis, Edward Sylvester;Ellis Edward Sylvester;American;American;American;https://en.wikipedia.org/wiki/Edward_S._Ellis;American
[Williams, Harold];Williams Harold;;English;;https://en.wikipedia.org/wiki/Harold_Williams_(linguist);English
Belot, Adolphe;Belot Adolphe;French;French;;https://en.wikipedia.org/wiki/Adolphe_Belot;French
Macnie, John;Macnie John;;American;;https://en.wikipedia.org/wiki/John_Henry_(folklore);American
Dallas, Mary (Kyle);Kyle Dallas;;;;;
Moreland, Mary Leona;Moreland Mary Leona;;;;;
Wingfield, Lewis Strange;Wingfield Lewis Strange;;Irish;;https://en.wikipedia.org/wiki/Lewis_Strange_Wingfield;Irish
Roosevelt, Blanche;Roosevelt Blanche;American;American;;https://en.wikipedia.org/wiki/Blanche_Roosevelt;American
Pyle, Howard;Pyle Howard;;American;American;https://en.wikipedia.org/wiki/Howard_Pyle;American
Saunders, John;Saunders John;;American;;https://en.wikipedia.org/wiki/John_Monk_Saunders;American
Jay, Harriett;Jay Harriett;;British;;https://en.wikipedia.org/wiki/Harriett_Jay;British
Conway, Hugh;Conway Hugh;;;;;
Jennings, Louis J. (Louis John);Louis John Jennings;;English;;https://en.wikipedia.org/wiki/Louis_John_Jennings;English
Bothmer, Marie;Bothmer Marie;;;;;
Topelius, Zacharias;Topelius Zacharias;Finnish;Swedish;Finnish;https://en.wikipedia.org/wiki/Zachris_Topelius;Finnish
Holmes, Oliver Wendell;Holmes Oliver Wendell;American;American;;https://en.wikipedia.org/wiki/Oliver_Wendell_Holmes_Sr.;American
Riddell, J. H., Mrs;Riddell J. H. Mrs;;;;;
Navery, Raoul de;Navery Raoul de;;;;;
Fleming, George;Fleming George;;;;https://en.wikipedia.org/wiki/George_Fleming;
pseud. Thiusen, Ismar;pseud. Thiusen Ismar;;;;;
Murray, David Christie;Murray David Christie;;English;English;https://en.wikipedia.org/wiki/David_Christie_Murray;English
McElroy, John;McElroy John;American;American;;https://en.wikipedia.org/wiki/John_McElroy_(author);American
Conscience, Hendrik;Conscience Hendrik;Belgian;Belgian;;https://en.wikipedia.org/wiki/Hendrik_Conscience;Belgian
Lucy, Henry W;Lucy Henry W;;English;;https://en.wikipedia.org/wiki/Henry_Lucy;English
La Bédollière, Emile de;La Bédollière Emile de;;;;;
Raymond, Zillah;Raymond Zillah;;;;;
Laboulaye, Edouard;Laboulaye Edouard;;French;;https://en.wikipedia.org/wiki/Édouard_René_de_Laboulaye;French
Dodge, Mary Mapes;Dodge Mary Mapes;American;American;American;https://en.wikipedia.org/wiki/Mary_Mapes_Dodge;American
Simpson, Evangeline Mars;Simpson Evangeline Mars;;American;;https://en.wikipedia.org/wiki/Evangeline_Marrs_Whipple;American
Author of Cynthia;Author of Cynthia;;Japanese American;;https://en.wikipedia.org/wiki/Cynthia_Kadohata;Japanese American
Russell, Dora;Russell Dora;British;British;British;https://en.wikipedia.org/wiki/Dora_Russell;British
Harlan, Caleb;Harlan Caleb;;American;;https://en.wikipedia.org/wiki/Harlan_Ellison;American
Cooke, John Esten;Cooke John Esten;;American;;https://en.wikipedia.org/wiki/John_Esten_Cooke;American
Harris, Joel Chandler;Harris Joel Chandler;American;American;;https://en.wikipedia.org/wiki/Joel_Chandler_Harris;American
Reid, Christine;Reid Christine;;;;;
Greville, Violet;Greville Violet;British;British;;https://en.wikipedia.org/wiki/Violet,_Lady_Greville;British
Duchess;Duchess;;British;;https://en.wikipedia.org/wiki/The_Duchess_(TV_series);British
Pollock, Walter Herries;Pollock Walter Herries;;English;British;https://en.wikipedia.org/wiki/Walter_Herries_Pollock;British
Williams, Henry Llewellyn;Williams Henry Llewellyn;;;;;
Jeffries, H. B. (Howard B.);Howard B. Jeffries;;;;https://en.wikipedia.org/wiki/File:Captain_Howard_B._Jeffries_House,_in_Zephyrhills,_Florida_side_view.jpg;
Cunningham, B. Sim;Cunningham B. Sim;;Scottish;;https://en.wikipedia.org/wiki/Alastair_Sim;Scottish
Marlitt, E. (Eugenie);Eugenie Marlitt;German;German;;https://en.wikipedia.org/wiki/E._Marlitt;German
Gibbon, Charles;Gibbon Charles;;British;;https://en.wikipedia.org/wiki/Charles_Gibbon;British
Hardinge, William Money;Hardinge William Money;;English;;https://en.wikipedia.org/wiki/William_Money_Hardinge;English
Thomas, J. Meredith;Thomas J. Meredith;;English;English;https://en.wikipedia.org/wiki/George_Meredith;English
Marston, Louise;Marston Louise;;;;;
Hay, John;Hay John;;;;;
Fraser-Tytler, M. E. (Mary Elizabeth);Mary Elizabeth Fraser-Tytler;;;;;
Cooper, Jennie;Cooper Jennie;;;;;
Litchfield, Grace Denio;Litchfield Grace Denio;;;;;
Fothergill, Caroline;Fothergill Caroline;;;;;
Drewry, Edith Stewart;Drewry Edith Stewart;;;;;
Sheip, Levi C;Sheip Levi C;;;;;
Doudney, Sarah;Doudney Sarah;;English;;https://en.wikipedia.org/wiki/Sarah_Doudney;English
"Conklin, Jennie Maria (Drinkwater) ""Mrs. Nathaniel Conklin,""";Drinkwater Conklin;American;American;American;https://en.wikipedia.org/wiki/Jennie_Maria_Drinkwater_Conklin;American
Songman;Songman;American;;;https://en.wikipedia.org/wiki/Songwriter;American
Duffy, Bella;Duffy Bella;;;;;
Dillwyn, E. A;Dillwyn E. A;;American;;https://en.wikipedia.org/wiki/Amy_Dillwyn;American
Madame Craven, Pauline Marie Armande Aglaé Ferron de La Ferronnays;Madame Craven Pauline Marie Armande Aglaé Ferron de La Ferronnays;;French;;https://en.wikipedia.org/wiki/Pauline_Marie_Armande_Craven;French
Arnould, A;Arnould A;English;English;British;https://en.wikipedia.org/wiki/Matthew_Arnold;British
Benedict, Frank Lee;Benedict Frank Lee;;;;;
Elvester;Elvester;;;;;
White, Richard Grant;White Richard Grant;;Shakespearean;;https://en.wikipedia.org/wiki/Richard_Grant_White;Shakespearean
Beatty, John;Beatty John;;American;;https://en.wikipedia.org/wiki/John_and_Patricia_Beatty;American
Douglas, Amanda Minnie;Douglas Amanda Minnie;American;American;;https://en.wikipedia.org/wiki/Amanda_Minnie_Douglas;American
Sr., Hale, Edward Everett;Sr. Hale Edward Everett;;American;;https://en.wikipedia.org/wiki/Edward_Everett_Hale;American
Cook, Dutton;Cook Dutton;British;British;;https://en.wikipedia.org/wiki/Edward_Dutton_Cook;British
Graham, Edwin Brown;Graham Edwin Brown;;;;;
Howe, Elizabeth;Howe Elizabeth;;American;;https://en.wikipedia.org/wiki/Laura_E._Richards;American
Jones, Sarah J;Jones Sarah J;;;;;
Barnard, Frederick;Barnard Frederick;;English;British;https://en.wikipedia.org/wiki/Fred_Barnard;British
Lyster, Annette;Lyster Annette;;;;;
Rideout, J. B;Rideout J. B;;American;;https://en.wikipedia.org/wiki/Ride_Out_(album);American
Arena;Arena;American;American;American;https://en.wikipedia.org/wiki/Maria_Arena_Bell;American
P??rez Gald?_s, Benito;P??rez Gald?_s Benito;;Spanish;;https://en.wikipedia.org/wiki/Benito_Pérez_Galdós;Spanish
Queen of Great Britain, Victoria;Queen of Great Britain Victoria;;Victorian;;https://en.wikipedia.org/wiki/Queen_Victoria;Victorian
Elliot, Frances;Elliot Frances;;British;;https://en.wikipedia.org/wiki/Francis_Elliott_(journalist);British
Wooding, E;Wooding E;;British;;https://en.wikipedia.org/wiki/Chris_Wooding;British
Griffin, Lepel Henry;Griffin Lepel Henry;;British;;https://en.wikipedia.org/wiki/Lepel_Griffin;British
Homer;Homer;;Greek;Greek;https://en.wikipedia.org/wiki/Homer;Greek
Fletcher, Susan Willis;Fletcher Susan Willis;;;;;
Pennell, Elizabeth (Robins);Robins Pennell;American;American;;https://en.wikipedia.org/wiki/Elizabeth_Robins_Pennell;American
Clover, Sam T;Clover Sam T;;;;;
Martin, Mary, Lady;Martin Mary Lady;;English;;https://en.wikipedia.org/wiki/Mary_Martin_(teacher);English
Barrows, John Otis;Barrows John Otis;;;;;
Hall, Frances;Hall Frances;;;;;
Reade, Charles;Reade Charles;English;English;;https://en.wikipedia.org/wiki/Charles_Reade;English
C.B.S;C.B.S;American;American;American;https://en.wikipedia.org/wiki/C._B._Colby;American
Church, Ella Rodman;Church Ella Rodman;;American;;https://en.wikipedia.org/wiki/Ella_Rodman_Church;American
Thomas, Martha McCannon;Thomas Martha McCannon;;American;;https://en.wikipedia.org/wiki/Martha_J._B._Thomas;American
Bashkirtseff, Marie;Bashkirtseff Marie;;Russian;Russian;https://en.wikipedia.org/wiki/Marie_Bashkirtseff;Russian
O'Rell, Max;O'Rell Max;;;;;
Fraser, Norman;Fraser Norman;;American;American;https://en.wikipedia.org/wiki/Norman_Mailer;American
Aziz Efendi;Aziz Efendi;;Ottoman;;https://en.wikipedia.org/wiki/Giritli_Ali_Aziz_Efendi;Ottoman
Craik, Dinah Maria (Mulock), Mrs;Mulock Craik;English;English;;https://en.wikipedia.org/wiki/Dinah_Craik;English
Arp, Bill;Arp Bill;American;American;;https://en.wikipedia.org/wiki/Bill_Arp;American
Giberne, Agnes;Giberne Agnes;British;British;English;https://en.wikipedia.org/wiki/Agnes_Giberne;English
Spofford, Ainsworth Rand;Spofford Ainsworth Rand;;American;;https://en.wikipedia.org/wiki/Ainsworth_Rand_Spofford;American
Floyd, N. J. (Nicholas Jackson);Nicholas Jackson Floyd;;American;;https://en.wikipedia.org/wiki/Nicholas_Jackson_(editor);American
Lincoln, Jeanie Gould;Lincoln Jeanie Gould;American;American;American;https://en.wikipedia.org/wiki/Jeanie_Gould;American
Wheelock, John E;Wheelock John E;;British;;https://en.wikipedia.org/wiki/John_Wheelock;British
Wright, Alfred;Wright Alfred;British;British;British;https://en.wikipedia.org/wiki/James_Herriot;British
Stowe, Harriet Beecher;Stowe Harriet Beecher;American;American;;https://en.wikipedia.org/wiki/Harriet_Beecher_Stowe;American
Carroll, Lewis;Carroll Lewis;English;English;;https://en.wikipedia.org/wiki/Lewis_Carroll;English
Carroll, John;Carroll John;;;;https://en.wikipedia.org/wiki/John_Carroll_(author);
Butts, M. F. (Mary F.);Mary F. Butts;;;;https://en.wikipedia.org/wiki/Westfield_College;
Caṭṭopādhyāẏa, Baṅkimacandra;Caṭṭopādhyāẏa Baṅkimacandra;;Indian;;https://en.wikipedia.org/wiki/Bankim_Chandra_Chatterjee;Indian
Carpenter, Frank De Yeaux;Carpenter Frank De Yeaux;;American;;https://en.wikipedia.org/wiki/Frank_M._Carpenter;American
Swynnerton, Charles;Swynnerton Charles;;English;;https://en.wikipedia.org/wiki/Charles_Francis_Massy_Swynnerton;English
Venn, Susannah C;Venn Susannah C;;;;;
Leland, Charles Godfrey;Leland Charles Godfrey;American;American;;https://en.wikipedia.org/wiki/Charles_Godfrey_Leland;American
Thomes, William Henry;Thomes William Henry;;English;;https://en.wikipedia.org/wiki/Thomas_Henry_(illustrator);English
Stockton, Frank R. (Frank Richard);Frank Richard Stockton;American;American;American;https://en.wikipedia.org/wiki/Frank_R._Stockton;American
Smith, William Hawley;Smith William Hawley;;;;;
Vernaleken, Theodor;Vernaleken Theodor;;;;;
Johonnot, James;Johonnot James;;;;https://en.wikipedia.org/wiki/James_Johonnot;
Williams, George Forrester;Williams George Forrester;;;;https://en.wikipedia.org/wiki/George_Forrester_Williams;
Adams, William Taylor;Adams William Taylor;;;;https://en.wikipedia.org/wiki/William_Taylor_Adams;
Hopkins, Jennie L;Hopkins Jennie L;;;Scottish;https://en.wikipedia.org/wiki/Jenny_Colgan;Scottish
Hamlen, G. (Georgianna);Georgianna Hamlen;;;;;
White, Ten Eyck;White Ten Eyck;;;;;
Fenn, George Manville;Fenn George Manville;;English;;https://en.wikipedia.org/wiki/George_Manville_Fenn;English
Allen, Grant;Allen Grant;British;British;;https://en.wikipedia.org/wiki/Alan_Grant_(writer);British
Sime, William;Sime William;British;British;;https://en.wikipedia.org/wiki/Nicholas_Sims-Williams;British
Crozier, R. H. (Robert Hoskins);Robert Hoskins Crozier;;;;;
Bellamy, Edward;Bellamy Edward;American;American;;https://en.wikipedia.org/wiki/Edward_Bellamy;American
Fräulein von. Weling;Fräulein von. Weling;;East German;;https://en.wikipedia.org/wiki/Das_Fräulein_von_Scuderi;East German
Morris, Anthony P;Morris Anthony P;;;;;
Harris, William Torrey;Harris William Torrey;;American;;https://en.wikipedia.org/wiki/William_Torrey_Harris;American
Le Row, Caroline B. (Caroline Bigelow);Caroline Bigelow Le Row;;;;;
Fothergill, John M;Fothergill John M;;British;British;https://en.wikipedia.org/wiki/John_Milner_Fothergill;British
Wethered, Charles;Wethered Charles;;English;;https://en.wikipedia.org/wiki/E._V._Lucas;English
Plympton, A. G. (Almira George);Almira George Plympton;;;;;
Seabrook, Whitemarsh B;Seabrook Whitemarsh B;;;;https://en.wikipedia.org/wiki/Seabrook_(surname);
Carleton, Henry Guy;Carleton Henry Guy;;American;;https://en.wikipedia.org/wiki/Henry_Guy_Carleton;American
Huntington, L. S. (Lucius Seth);Lucius Seth Huntington;;Canadian;;https://en.wikipedia.org/wiki/Lucius_Seth_Huntington;Canadian
Hamilton, William Alexander Baillie;Hamilton William Alexander Baillie;;Scottish;;https://en.wikipedia.org/wiki/William_Baillie-Hamilton;Scottish
Elbon, Barbara;Elbon Barbara;;;;;
Cooper, Katherine;Cooper Katherine;;;;;
Forbes, Urquhart Atwell;Forbes Urquhart Atwell;;;;;
Needell, J. H, Mrs;Needell J. H Mrs;;;;;
Fitzgerald, Percy Hetherington;Fitzgerald Percy Hetherington;;Anglo;;https://en.wikipedia.org/wiki/Percy_Hetherington_Fitzgerald;Anglo
Brown, William Wells;Brown William Wells;;an African American;;https://en.wikipedia.org/wiki/William_Wells_Brown;an African American
King, Charles;King Charles;;Russian;American;https://en.wikipedia.org/wiki/Charles_King_(professor_of_international_affairs);American
Diehl, Alice M. (Alice Mangold);Alice Mangold Diehl;;English;;https://en.wikipedia.org/wiki/Alice_Diehl;English
Buchanan, Robert Williams;Buchanan Robert Williams;;Scottish;Scottish;https://en.wikipedia.org/wiki/Robert_Williams_Buchanan;Scottish
Greene, (Louisa Lilias), Mrs;Louisa Lilias Greene;;Irish;;https://en.wikipedia.org/wiki/Louisa_Lilias_Plunket_Greene;Irish
Elliot, Henry R. (Henry Rutherford);Henry Rutherford Elliot;;;;;
Bertz, Eduard;Bertz Eduard;;;;;
Robinson, F. W. (Frederick William);Frederick William Robinson;;English;;https://en.wikipedia.org/wiki/Frederick_William_Robinson;English
Beard, O. T. (Oliver Thomas);Oliver Thomas Beard;;English;;https://en.wikipedia.org/wiki/Thomas_Beard;English
Whitaker, Evelyn;Whitaker Evelyn;;English;;https://en.wikipedia.org/wiki/Evelyn_Whitaker;English
Smith, Juliet B;Smith Juliet B;;;;;
Mitchell, S. Weir (Silas Weir);Silas Weir Mitchell;American;American;;https://en.wikipedia.org/wiki/Silas_Weir_Mitchell_(physician);American
Teal, Angeline;Teal Angeline;;;;;
Whitelock, Louise Clarkson;Whitelock Louise Clarkson;;;;;
Bates, Arlo;Bates Arlo;;American;;https://en.wikipedia.org/wiki/Arlo_Bates;American
Spencer, George E, Mrs;Spencer George E Mrs;;;;;
Anstey, F;Anstey F;;English;;https://en.wikipedia.org/wiki/Thomas_Anstey_Guthrie;English
Smart, Hawley;Smart Hawley;;English;;https://en.wikipedia.org/wiki/Henry_Hawley_Smart;English
Stimson, Frederic Jessup;Stimson Frederic Jessup;;American;;https://en.wikipedia.org/wiki/Frederic_Jesup_Stimson;American
Ohnet, Georges;Ohnet Georges;;French;;https://en.wikipedia.org/wiki/Georges_Ohnet;French
Halsted, Leonora B;Halsted Leonora B;;;;;
Langdon, Samuel;Langdon Samuel;;;;https://en.wikipedia.org/wiki/Samuel_Langdon;
Parker, Augusta Bethell;Parker Augusta Bethell;;;;;
Gautier, Judith;Gautier Judith;French;French;French;https://en.wikipedia.org/wiki/Judith_Gautier;French
Haggard, H. Rider (Henry Rider);Henry Rider Haggard;English;English;British;https://en.wikipedia.org/wiki/H._Rider_Haggard;British
Lugard, Flora Louisa Shaw, Lady;Lugard Flora Louisa Shaw Lady;British;British;;https://en.wikipedia.org/wiki/Flora_Shaw,_Lady_Lugard;British
Malone, Michael;Malone Michael;American;American;;https://en.wikipedia.org/wiki/Michael_Malone_(author);American
Stocker, C. H. D;Stocker C. H. D;;;;;
Murfree, Mary Noailles;Murfree Mary Noailles;American;American;American;https://en.wikipedia.org/wiki/Mary_Noailles_Murfree;American
Roe, E. P;Roe E. P;;American;American;https://en.wikipedia.org/wiki/Edward_Payson_Roe;American
Whelpton, Edwin;Whelpton Edwin;;;;;
Warden, Florence;Warden Florence;;English;English;https://en.wikipedia.org/wiki/Florence_Warden;English
Sergeant, Adeline;Sergeant Adeline;;English;English;https://en.wikipedia.org/wiki/Adeline_Sergeant;English
Lee, Vernon;Lee Vernon;British;British;;https://en.wikipedia.org/wiki/Vernon_Lee;British
Hunter, P. Hay;Hunter P. Hay;;;;;
Harte, Bret;Harte Bret;American;American;;https://en.wikipedia.org/wiki/Bret_Harte;American
Grant, Robert;Grant Robert;;;;https://en.wikipedia.org/wiki/Grant_L._Roberts;
Everett-Green, Evelyn;Everett-Green Evelyn;;English;English;https://en.wikipedia.org/wiki/Evelyn_Everett-Green;English
Putnam, Samuel P. (Samuel Porter);Samuel Porter Putnam;;American;;https://en.wikipedia.org/wiki/Samuel_Porter_Putnam;American
Farrar, Charles A. J. (Charles Alden John);Charles Alden John Farrar;;;;;
Stanford, Hope;Stanford Hope;;;;;
Roe, E. R. (Edward Reynolds);Edward Reynolds Roe;;;;https://en.wikipedia.org/wiki/Edward_Reynolds;
Gerrish, Theodore;Gerrish Theodore;;;;;
Barr, Amelia Edith Huddleston;Barr Amelia Edith Huddleston;;British;;https://en.wikipedia.org/wiki/Amelia_Edith_Huddleston_Barr;British
Goldsberry, Doran & Nelson. [from old catalog];Goldsberry Doran & Nelson. from old catalog;;;;;
Morse, Edmund. [from old catalog];Morse Edmund. from old catalog;;American;;https://en.wikipedia.org/wiki/Samuel_Morse;American
[McCray, Florine Thayer];McCray Florine Thayer;;;Suspense;https://en.wikipedia.org/wiki/Steve_Thayer;Suspense
Hickey, David;Hickey David;;;;;
